Disease,Symptoms,Medications,Precautions,Description
Flu,"fever,cough,sore throat","Paracetamol,Antiviral drugs","Rest,stay hydrated,avoid contact","Flu is a contagious respiratory illness caused by influenza viruses, leading to fever and cough."
Migraine,"headache,nausea,sensitivity to light","Ibuprofen,Triptans","Avoid triggers,rest in dark room","Migraine is a severe headache disorder often accompanied by nausea and sensitivity to light."
Common Cold,"runny nose,sneezing,cough","Decongestants,Antihistamines","Stay warm,drink fluids","Common Cold is a viral infection causing nasal congestion, sneezing, and mild symptoms."
Allergy,"itchy eyes,rash,wheezing","Antihistamines,Corticosteroids","Avoid allergens,use air purifiers","Allergies occur when the immune system overreacts to substances like pollen or dust."
Gastritis,"stomach pain,bloating,vomiting","Antacids,Proton pump inhibitors","Avoid spicy foods,eat small meals","Gastritis is inflammation of the stomach lining, causing pain and digestive discomfort."
Urinary Tract Infection,"burning urination,frequent urination,pelvic pain","Antibiotics,Pain relievers","Drink plenty of water,maintain hygiene","UTI is a bacterial infection in the urinary system, causing painful and frequent urination."
Conjunctivitis,"red eyes,eye discharge,itching","Antibiotic eye drops,Antihistamine drops","Avoid touching eyes,wash hands frequently","Conjunctivitis, or pink eye, is an infection or inflammation of the eye's surface."
Sprained Ankle,"ankle pain,swelling,bruising","Pain relievers,Ice packs","Rest,elevate ankle,use compression","A sprained ankle is an injury to the ankle ligaments, causing pain and swelling."
Hypertension,"high blood pressure,dizziness,chest pain","ACE inhibitors,Diuretics","Reduce salt intake,exercise regularly","Hypertension, or high blood pressure, strains the heart and blood vessels."
Diabetes,"increased thirst,frequent urination,fatigue","Metformin,Insulin","Monitor blood sugar,eat balanced diet","Diabetes is a chronic condition where blood sugar levels are high due to insulin problems."
Asthma,"wheezing,shortness of breath,chest tightness","Inhaled corticosteroids,Bronchodilators","Avoid triggers,use inhaler as prescribed","Asthma is a lung condition causing breathing difficulties due to inflamed airways."
Arthritis,"joint pain,stiffness,swelling","NSAIDs,DMARDs","Stay active,maintain healthy weight","Arthritis is joint inflammation, leading to pain and reduced mobility."
Hepatitis B,"jaundice,dark urine,abdominal pain","Antiviral drugs,Interferons","Get vaccinated,avoid sharing needles","Hepatitis B is a viral liver infection spread through blood or bodily fluids."
Pneumonia,"fever,chills,cough with phlegm","Antibiotics,Antipyretics","Stay hydrated,avoid smoking","Pneumonia is a lung infection causing cough, fever, and breathing difficulties."
