Medication,Purpose
Paracetamol,reduce fever and relieve pain
Antiviral drugs,help fight viral infections
Ibuprofen,relieve pain and reduce inflammation
Triptans,treat migraine headaches
Decongestants,relieve nasal congestion
Antihistamines,reduce allergy symptoms like sneezing or itching
Corticosteroids,reduce inflammation and allergic reactions
Antacids,neutralize stomach acid
Proton pump inhibitors,reduce stomach acid production
Antibiotics,treat bacterial infections
Pain relievers,ease discomfort and pain
Antibiotic eye drops,treat bacterial eye infections
Antihistamine drops,relieve eye itching and redness
Ice packs,reduce swelling and pain
ACE inhibitors,lower blood pressure
Diuretics,reduce fluid buildup and blood pressure
Metformin,manage blood sugar levels
Insulin,regulate blood glucose
Inhaled corticosteroids,reduce airway inflammation
Bronchodilators,open airways for easier breathing
NSAIDs,reduce pain and inflammation
DMARDs,slow joint damage in arthritis
Interferons,boost immune response against viruses
Antipyretics,lower fever
Cough suppressants,reduce coughing
H2 blockers,decrease stomach acid production
Topical corticosteroids,reduce skin inflammation and itching
Moisturizers,hydrate and protect skin
Topical steroids,reduce skin inflammation
Biologics,target specific immune responses
Antiretroviral therapy,control HIV progression
Supportive care,manage symptoms and improve comfort
Vitamin A,support immune function in measles
IV fluids,maintain hydration in severe illness
Antimalarial drugs,treat malaria infections
Antivirals,fight viral infections like meningitis
Colchicine,reduce gout inflammation
Antidepressants,manage pain and mood in fibromyalgia
Bisphosphonates,strengthen bones
Calcium supplements,support bone health
Topical antibiotics,treat skin infections
Oral antibiotics,treat systemic infections
Immunosuppressants,reduce immune activity in autoimmune diseases
Vasodilators,improve blood flow
Calcium channel blockers,relax blood vessels
Bracing,support spinal alignment
Cholinesterase inhibitors,improve cognitive function in Alzheimer’s
Memantine,manage Alzheimer’s symptoms
Levodopa,improve movement in Parkinson’s
Dopamine agonists,mimic dopamine to reduce symptoms
Chemotherapy,target cancer cells
Hormonal therapy,block hormones fueling cancer growth
Hormonal contraceptives,regulate menstrual cycles
Statins,lower cholesterol levels
Fibrates,reduce triglycerides
Weight loss medications,support weight management
Lifestyle changes,promote overall health
Iron supplements,correct iron deficiency in anemia
Vitamin B12,treat B12 deficiency anemia
Anticonvulsants,prevent seizures in epilepsy
Levothyroxine,replace thyroid hormone
Beta blockers,reduce heart rate and blood pressure
Alpha blockers,facilitate kidney stone passage
Eye drops,lower intraocular pressure in glaucoma
Antispasmodics,relieve intestinal spasms
Fiber supplements,improve bowel regularity
Topical analgesics,relieve localized pain
CPAP therapy,treat breathing pauses in sleep apnea
5-alpha reductase inhibitors,reduce prostate size
Cholecystectomy,surgical removal of gallbladder
Anti-anxiety drugs,reduce anxiety symptoms
Mood stabilizers,regulate mood swings
Antipsychotics,treat psychotic symptoms
Stimulants,improve focus in ADHD
Behavioral therapy,support behavioral changes
Cortisol inhibitors,reduce excess cortisol
Antithyroid drugs,inhibit thyroid hormone production
Immunomodulators,modify immune response in MS
Riluzole,slow ALS progression
Anticoagulants,prevent blood clots
Thrombolytics,dissolve blood clots
Antiplatelets,reduce platelet aggregation
Oxygen therapy,improve oxygen levels
Targeted therapy,target specific cancer cells
Immunotherapy,boost immune response against cancer
Radiation therapy,destroy cancer cells
Artificial tears,relieve dry eyes
