Precaution,Template
Rest,"Make sure to get plenty of rest to help your body recover."
Rest,"Take it easy and rest as much as you can."
stay hydrated,"Drink plenty of water to stay hydrated."
stay hydrated,"Keep yourself hydrated with water or electrolyte drinks."
avoid contact,"Avoid close contact with others to prevent spreading illness."
avoid contact,"Stay away from crowded places to avoid transmission."
Avoid triggers,"Steer clear of triggers like stress or bright lights."
Avoid triggers,"Avoid things that worsen your symptoms."
rest in dark room,"Rest in a quiet, dark room to ease discomfort."
rest in dark room,"Find a calm, dark space to relax."
Stay warm,"Keep yourself warm to stay comfortable."
Stay warm,"Bundle up to maintain body temperature."
drink fluids,"Drink lots of fluids like water or tea to stay hydrated."
drink fluids,"Stay hydrated with soothing drinks."
Avoid allergens,"Stay away from allergens like pollen or pet dander."
Avoid allergens,"Avoid dust or mold to reduce symptoms."
use air purifiers,"Use an air purifier to reduce allergens at home."
use air purifiers,"Keep air clean with a purifier to ease symptoms."
Avoid spicy foods,"Avoid spicy or acidic foods to prevent irritation."
Avoid spicy foods,"Stick to bland foods to soothe your stomach."
eat small meals,"Eat small, frequent meals to aid digestion."
eat small meals,"Try smaller portions to help your stomach."
Drink plenty of water,"Drink lots of water to flush your system."
Drink plenty of water,"Stay hydrated to support recovery."
maintain hygiene,"Keep good hygiene, especially after bathroom use."
maintain hygiene,"Practice hygiene to prevent infections."
Avoid touching eyes,"Don’t touch or rub your eyes to avoid spreading infection."
Avoid touching eyes,"Keep hands away from eyes to prevent worsening."
wash hands frequently,"Wash your hands often to stay clean."
wash hands frequently,"Frequent hand washing prevents infection spread."
elevate ankle,"Elevate your ankle to reduce swelling."
elevate ankle,"Prop up your ankle to help with swelling."
use compression,"Use a compression bandage to support your ankle."
use compression,"Wrap your ankle to reduce swelling."
Reduce salt intake,"Cut back on salt to manage blood pressure."
Reduce salt intake,"Limit salty foods to stay healthy."
exercise regularly,"Stay active with regular exercise."
exercise regularly,"Exercise to maintain overall health."
Monitor blood sugar,"Check your blood sugar levels regularly."
Monitor blood sugar,"Keep track of glucose to manage diabetes."
eat balanced diet,"Eat a balanced diet to support health."
eat balanced diet,"Choose nutritious foods for better control."
use inhaler as prescribed,"Use your inhaler as directed by your doctor."
use inhaler as prescribed,"Follow inhaler instructions to manage symptoms."
Stay active,"Keep active to maintain joint mobility."
Stay active,"Move regularly to stay healthy."
maintain healthy weight,"Keep a healthy weight to reduce strain."
maintain healthy weight,"Manage weight to support your health."
Get vaccinated,"Get vaccinated to prevent infections."
Get vaccinated,"Stay up to date with vaccinations."
avoid sharing needles,"Don’t share needles to avoid infections."
avoid sharing needles,"Use sterile equipment to stay safe."
avoid smoking,"Avoid smoking to protect your lungs."
avoid smoking,"Quit smoking to improve health."
